# t    Ek    Ep    Etot
6.90000000000000e-01 2.51488583628285e+01 -1.81525800540523e+02 -1.56376942177694e+02
7.00000000000000e-01 1.30601842597828e+01 -1.69182639530829e+02 -1.56122455271046e+02
7.10000000000000e-01 4.42728622114553e+00 -1.60262471846883e+02 -1.55835185625737e+02
7.20000000000000e-01 3.35664775896126e+00 -1.59132286768709e+02 -1.55775639009748e+02
7.30000000000000e-01 1.06568714929830e+01 -1.66665356242382e+02 -1.56008484749399e+02
7.40000000000000e-01 2.30799601084342e+01 -1.79385584850489e+02 -1.56305624742055e+02
7.50000000000000e-01 3.60757321135922e+01 -1.92542856843407e+02 -1.56467124729814e+02
7.60000000000000e-01 4.65930228439693e+01 -2.03078776042076e+02 -1.56485753198106e+02
7.70000000000000e-01 5.36050512193532e+01 -2.10044881129215e+02 -1.56439829909861e+02
7.80000000000000e-01 5.72487096362654e+01 -2.13639414290362e+02 -1.56390704654097e+02
7.90000000000000e-01 5.79588826803288e+01 -2.14322409429438e+02 -1.56363526749109e+02
8.00000000000000e-01 5.60443374137511e+01 -2.12404051679711e+02 -1.56359714265960e+02
8.10000000000000e-01 5.16184895761362e+01 -2.07985933970102e+02 -1.56367444393966e+02
8.20000000000000e-01 4.47459122843476e+01 -2.01111593177946e+02 -1.56365680893599e+02
8.30000000000000e-01 3.57278571343015e+01 -1.92055927582792e+02 -1.56328070448491e+02
8.40000000000000e-01 2.54424168875805e+01 -1.81677588321050e+02 -1.56235171433469e+02
8.50000000000000e-01 1.55452673602145e+01 -1.71642263669109e+02 -1.56096996308895e+02
8.60000000000000e-01 8.23540718234519e+00 -1.64203116730418e+02 -1.55967709548072e+02
8.70000000000000e-01 5.45181618886357e+00 -1.61372057926088e+02 -1.55920241737224e+02
8.80000000000000e-01 7.88754501323717e+00 -1.63872948358886e+02 -1.55985403345649e+02
8.90000000000000e-01 1.45885236210415e+01 -1.70709955744129e+02 -1.56121432123088e+02
9.00000000000000e-01 2.35009974056346e+01 -1.79754756004987e+02 -1.56253758599352e+02
9.10000000000000e-01 3.24898502749339e+01 -1.88823286680470e+02 -1.56333436405536e+02
9.20000000000000e-01 4.00797362925952e+01 -1.96434384805358e+02 -1.56354648512763e+02
9.30000000000000e-01 4.56272100871927e+01 -2.01963560933860e+02 -1.56336350846667e+02
9.40000000000000e-01 4.91128405168202e+01 -2.05413473029284e+02 -1.56300632512464e+02
9.50000000000000e-01 5.08430710856169e+01 -2.07105823649313e+02 -1.56262752563696e+02
9.60000000000000e-01 5.12222276049649e+01 -2.07452593085925e+02 -1.56230365480960e+02
9.70000000000000e-01 5.06255756818559e+01 -2.06831604648166e+02 -1.56206028966310e+02
9.80000000000000e-01 4.93474083139820e+01 -2.05537106368498e+02 -1.56189698054516e+02
9.90000000000000e-01 4.75909801762595e+01 -2.03771278414893e+02 -1.56180298238634e+02
1.00000000000000e+00 4.54772837274036e+01 -2.01653755871176e+02 -1.56176472143773e+02
1.01000000000000e+00 4.30608616046520e+01 -1.99237653642379e+02 -1.56176792037727e+02
1.02000000000000e+00 4.03486476368719e+01 -1.96528320013119e+02 -1.56179672376248e+02
1.03000000000000e+00 3.73223219412545e+01 -1.93505474900380e+02 -1.56183152959126e+02
1.04000000000000e+00 3.39664988342277e+01 -1.90151233603178e+02 -1.56184734768950e+02
1.05000000000000e+00 3.03040335559587e+01 -1.86485568087544e+02 -1.56181534531586e+02
1.06000000000000e+00 2.64348431495473e+01 -1.82605923141085e+02 -1.56171079991538e+02
1.07000000000000e+00 2.25656964849574e+01 -1.78718550151172e+02 -1.56152853666214e+02
1.08000000000000e+00 1.90092941961852e+01 -1.75139257891420e+02 -1.56129963695235e+02
1.09000000000000e+00 1.61318218985776e+01 -1.72241195387695e+02 -1.56109373489118e+02
